Country,lat,long,1
Australia,-35.28346,149.12807,2
Australia,-35.28346,149.12807,3
Australia,-35.28346,149.12807,4
USA,44.2905,-93.2681,5
Morocco,35.0204,-5.9111,6
Australia,-35.28346,149.12807,7
Australia,-35.28346,149.12807,8
USA,44.2905,-93.2681,9
France,45.9111,6.1167,10
India,15.4921,73.8181,11
South Africa,-30.1173,28.7021,12
Australia,-35.28346,149.12807,13
USA,44.2905,-93.2681,14
USA,44.2905,-93.2681,15
Azerbaijan,40.5656,45.8161,16
USA,44.2905,-93.2681,17
Australia,-35.28346,149.12807,18
Russia,43.2331,44.7831,19
USA,44.2905,-93.2681,20
USA,44.2905,-93.2681,21
USA,44.2905,-93.2681,22
Australia,-35.28346,149.12807,23
Australia,-35.28346,149.12807,24
USA,44.2905,-93.2681,25
Australia,-35.28346,149.12807,26
Australia,-35.28346,149.12807,27
Israel,31.9167,34.8667,28
Australia,-35.28346,149.12807,29
Russia,43.2331,44.7831,30
USA,44.2905,-93.2681,31
USA,44.2905,-93.2681,32
South Africa,-30.1173,28.7021,33
Azerbaijan,40.5656,45.8161,34
Australia,-35.28346,149.12807,35
Australia,-35.28346,149.12807,36
South Africa,-30.1173,28.7021,37
Australia,-35.28346,149.12807,38
Australia,-35.28346,149.12807,39
USA,44.2905,-93.2681,40
USA,44.2905,-93.2681,41
Russia,43.2331,44.7831,42
Kenya,-0.4171,36.9511,43
USA,44.2905,-93.2681,44
Australia,-35.28346,149.12807,45
USA,44.2905,-93.2681,46
USA,44.2905,-93.2681,47
India,15.4921,73.8181,48
USA,44.2905,-93.2681,49
Portugal,40.6411,-8.6511,50
USA,44.2905,-93.2681,51
Senegal,14.7645,-17.3661,52
Australia,-35.28346,149.12807,53
USA,44.2905,-93.2681,54
South Africa,-30.1173,28.7021,55
USA,44.2905,-93.2681,56
Australia,-35.28346,149.12807,57
USA,44.2905,-93.2681,58
Madagascar,-14.2662,50.1666,59
USA,44.2905,-93.2681,60
Australia,-35.28346,149.12807,61
USA,44.2905,-93.2681,62
India,15.4921,73.8181,63
Central African Republic,4.3211,21.1811,64
USA,44.2905,-93.2681,65
Senegal,14.7645,-17.3661,66
Russia,43.2331,44.7831,67
Australia,-35.28346,149.12807,68
Japan,34.6721,133.9171,69
USA,44.2905,-93.2681,70
Czech Republic,50.6631,14.0811,71
Azerbaijan,40.5656,45.8161,72
Israel,31.9167,34.8667,73
USA,44.2905,-93.2681,74
Australia,-35.28346,149.12807,75
DRC,-4.1641,13.5541,76
Australia,-35.28346,149.12807,77
USA,44.2905,-93.2681,78
Australia,-35.28346,149.12807,79
Australia,-35.28346,149.12807,80
India,15.4921,73.8181,81
Russia,43.2331,44.7831,82
Israel,31.9167,34.8667,83
Australia,-35.28346,149.12807,84
USA,44.2905,-93.2681,85
Australia,-35.28346,149.12807,86
USA,44.2905,-93.2681,87
Ukraine,46.9677,31.9843,88
Australia,-35.28346,149.12807,89
USA,44.2905,-93.2681,90
South Africa,-30.1173,28.7021,91
USA,44.2905,-93.2681,92
Australia,-35.28346,149.12807,93
Cyprus,34.9171,33.6361,94
Australia,-35.28346,149.12807,95
USA,44.2905,-93.2681,96
Australia,-35.28346,149.12807,97
USA,44.2905,-93.2681,98
Russia,43.2331,44.7831,99
Nigeria,5.5321,7.4861,100
Tunisia,33.4111,10.4167,101
India,15.4921,73.8181,102
Australia,-35.28346,149.12807,103
South Africa,-30.1173,28.7021,104
India,15.4921,73.8181,105
